"We will run a search for papers that 'study bees' [see ""word cloud input"" tab] and are in 'agriculture' with our search terms listed in the keywords, title, or abstract. Then we will (1) use the purple project criteria below to narrow down paper count; (2) use the green measurement criteria below to further refine; and (3) use the yellow reporting criteria below to get a final paper count. Finally, we will document what the paper measured (white columns) in order to bin the papers into hypothesis types.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First Screen,,,,Second Screen,,,,,Background Info,,,,,,,,,,,,,Sample Time Type (per trip in min. unless stated),,,,,,Abundance Type,,,,Sp Richness Type,,,,ID,Practice Impact on Bees,,,,,,,Landscape on Bees,,,Bee on Plant,,Plant on Bee,,,Other,,,,,Notes,Title,ID Specificity,,,Sampling Method,,,,Study Hypotheses,,,,,,Exclusive Sampling Methods,,,,,,
Study,"On/Before August 31, 2020?",Primary Research?,More than one group?,Beyond Crop?,Abundance Reported (Y/N),Combined across Methods?,Sp Richness Reported (Y/N),Combined across Methods?,Other Diversity Measures,Country,US State,Start Year,No. of Years,No. of Sites (Avg),No. of Sites (Min),No. of Sites (Max),Transects per site,Subsection,Sample Trips/Year (Avg),Sample Trips/Year (Min),Sample Trips/Year (Max),Collection Method,Net Sample Time (min),Pan Traps Sample Time (days; Avg),Pan Traps Sample Time (days; Min),Pan Traps Sample Time (days; Max),Visual Sample Time (min),Combined Sample Time,Net Abundance,Pan Traps Abundance,Visual Abundance,Combined Abundance,Net Sp Richness,Pan Traps Sp Richness,Visual Sp Richness,Combined Sp Richness,Level of ID,Crop Veg.,Natural Area,Hedgerow,Flower Strips,Pesticide Use,Focus on Seed Mix,Sampled at Inception,Geographic Spread,Habitat Type,Landscape Influence,Impact to Crop,Impact to Other Plants,Plant Diversity,Bloom Cover,Network Measures,Bee Functional Diversity,Non-bee Sampling,Impact to Bee Health,Nesting Resources,Totals,Hannah Notes,Title,Least Specific ID,Least Specific N,Metz Notes,Net Sampling,Pan Sampling,Visual Sampling,Combined Sampling,Practice,Landscape,Bee on Plant,Plant on Bee,Other,Total N,Net Only,Pan Only,Visual Only,Net & Visual,Net & Pan,Pan & Visual,Continent
1,2003,Y,Y,Y,Y,Y,Y,Y,,Indonesia,,2000,1,24,,,1,A,3,,,"Visual, Net",5,,,,25,,,,,2038,,,,29,"Genus, Species",,,,,,,,,,,Y,,Y,,,,,,,,,Fruit set of highland coffee increases with the diversity of pollinating bees,Genus,8,,1,0,1,2,0,0,1,1,0,2,0,0,0,1,0,0,Asia
2,2009,Y,Y,Y,Y,Y,Y,Y,NMDS; Indicator Sp. Analysis,USA,AZ,2002,2,8,,,1,A,3,,,"Visual, Net",20,,,,20,,,,,1902,,,,107,"Genus, Species",,,,,,,,,Y,,,,,Y,,,,,,,,Hedgerows in an agri-natural landscape: potential habitat value for native bees,Genus,8,,1,0,1,2,0,1,0,1,0,2,0,0,0,1,0,0,North America
3,2010,Y,Y,Y,Y,N,Y,N,"alpha, gamma, and beta diversity; visitation networks",Kenya,,2005,1,18,,,1,A,12,,,Visual,,,,,60,,,,7968,,,,121,,Species,,,,,,,,,Y,,,,,,Y,,,,,,,Agricultural surroundings support floral-visitor networks in an Afrotropical rain forest,Species,9,,0,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,Africa
11,2010,Y,Y,Y,Y,N,Y,N,,Mexico,,2006,1,7,,,1,A,6,,,Pan traps,,14,,,,,,648,,,,46,,,"Species, Morpho-species,  Genus",,,,,,,,,Y,,,,Y,Y,Y,Y,,,,,,Impacts of coffee agroforestry management on tropical bee communities,Genus,8,,0,1,0,1,0,1,0,3,1,5,0,1,0,0,0,0,North America
6,2014,Y,Y,Y,Y,N,Y,N,,USA,MI,2009,4,5,,,1,A,1,,,Visual,,,,,30,,,,5240,,,,7,,"Family (Bombus, Apis mellifera)",Y,,,Y,,,Y,,,,Y,,,,,,Y,,,,,Flower plantings increase wild bee abundance and the pollination services provided to a pollination-dependent crop,Family,6,,0,0,1,1,3,0,1,0,1,5,0,0,1,0,0,0,North America
4,2015,Y,Y,Y,Y,N,Y,N,d'; species' occupancy,USA,CA,2006,7,5,,,1,A,4.0,3,5,Net,60,,,,,,6143,,,,97,,,,"Genus, Species, Morpho-species",,,Y,,,,Y,,,,,,,,Y,,Y,,,,,Habitat restoration promotes pollinator persistence and colonization in intensively managed agriculture,Genus,8,,1,0,0,1,2,0,0,1,1,4,1,0,0,0,0,0,North America
10,2015,Y,Y,Y,Y,Y,Y,Y,,UK,,2005,1,10,,,1,A,4,,,"Visual, Pan traps",,0.25,,,30,,,,,1774,,,,55,Species,,Y,,,,,,,,,Y,,,Y,,,,,,,,Interactive effect of floral abundance and semi-natural habitats on pollinators in field beans,Species,9,,0,1,1,2,1,0,1,1,0,3,0,0,0,0,0,1,Europe
7,2016,Y,Y,Y,Y,N,Y,N,Species richness,Germany,,2014,1,14,,,1,A,4,,,Net,60,,,,,,1015,,,,42,,,,"Family, Genus, Species",,,,Y,,,,,,Y,,,Y,Y,,,Y,,,,,Much more than bees – wildflower planting support highly diverse flower-visitor communities from complex to structurally simple agricultural landscapes,Family,6,,1,0,0,1,1,1,0,2,1,5,1,0,0,0,0,0,Europe
9,2017,Y,Y,Y,Y,N,Y,N,,China,,2015,1,18,,,1,A,5,,,Pan traps,,10,,,,,,3900,,,,38,,,,,,,,,,,,Y,Y,Y,,,Y,,,Y,,,,,Landscape effects on pollinator communities and pollinator services in small-holder agroecosystems,Morphospecies,7,,0,1,0,1,0,2,1,1,1,5,0,1,0,0,0,0,Asia
5,2018,Y,Y,Y,Y,N,Y,N,species richness (Chao 1); species diversity (Shannon); species evenness; functional diversity,USA,CA,2006,9,15,,,1,A,3.5,2,5,Net,60,,,,,,7179,,,,101,,,,"Genus, Species, Morpho-species",,,Y,,,,Y,,,,,,Y,,,Y,,,Y,,,Pollinator community assembly tracks changes in floral resources as restored hedgerows mature in agricultural landscapes,Genus,8,,1,0,0,1,2,0,0,1,2,5,1,0,0,0,0,0,North America
8,2018,Y,Y,Y,Y,Y,Y,Y,,Switzerland,,2014,1,6,,,1,A,2,,,"Net, Pan traps",15,6.5,3,10,,,,,,3973,,,,91,Species,,,,,,,,,Y,,,,Y,Y,Y,,,,Y,,,Wild bees respond complementarily to ‘high quality’ perennial and annual habitats of organic farms in a complex landscape,Species,9,"Sampling times reported as ranges, lowest time used",1,1,0,2,0,1,0,3,1,5,0,0,0,0,1,0,Europe
12,2012,Y,Y,Y,Y,N,Y,N,,USA,CA,2008,1,23,,,1,A,3,,,Visual,,,,,27,,,,2794,,,,20,,Species,,Y,,,Y,,,,,,,,,Y,,,Y,,,,,Wild pollination services to California almond rely on semi-natural habitat,Species,9,,0,0,1,1,2,0,0,1,1,4,0,0,1,0,0,0,North America
13,2013,Y,Y,Y,Y,N,Y,N,,France,,2010,3,812,,,1,A,1,,,Net,15,,,,,,29720,,,,22,,,,Genus,,,,,,,,,Y,,,,Y,Y,,,,,,,,Differences of floral resource use between honey bees and wild bees in an intensive farming system,Genus,8,,1,0,0,1,0,1,0,2,0,3,1,0,0,0,0,0,Europe
14,2014,Y,Y,Y,Y,N,Y,N,,USA,NJ,2010,3,16,,,1,A,3,,,Net,60,,,,,,1088,,,,7,,,,Genus / Group,Y,,,,,,,,,Y,Y,,,,,,,,,,,Pollinator body size mediates the scale at which land use drives crop pollination services,Genus,8,,1,0,0,1,1,1,1,0,0,3,1,0,0,0,0,0,North America
14,2014,Y,Y,Y,Y,N,Y,N,,USA,NJ,2010,3,16,,,1,A,3,,,Visual,,,,,60,,,,1217,,,,7,,Genus / Group,Y,,,,,,,,,Y,Y,,,,,,,,,,,Pollinator body size mediates the scale at which land use drives crop pollination services,Genus,8,,0,0,1,1,1,1,1,0,0,3,0,0,1,0,0,0,North America
15,2013,Y,Y,Y,Y,Y,Y,Y,,USA,NJ,2010,2,16,,,1,B,3,,,"Net, Visual",,,,,20,,,,,1017,,,,4,"Species, Morpho-species",,,,,,,,,,Y,Y,,,,,,,,,,Data collected blueberry (B) and cranberry (C) in NJ and watermelon (W) in CA,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,Morphospecies,7,"Multiple Methods per crop, duplicate entries made",0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,North America
15,2013,Y,Y,Y,Y,Y,Y,Y,,USA,NJ,2010,2,16,,,1,C,2,,,"Net, Visual",60,,,,,,,,,2200,,,,5,"Species, Morpho-species",,,,,,,,,,Y,Y,,,,,,,,,,Data collected blueberry (B) and cranberry (C) in NJ and watermelon (W) in CA,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,Morphospecies,7,"Multiple Methods per crop, duplicate entries made",1,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,North America
15,2013,Y,Y,Y,Y,Y,Y,Y,,USA,CA,2010,2,12,,,1,W,3,,,"Net, Visual",68,,,,40,,,,,1917,,,,7,"Species, Morpho-species",,,,,,,,,,Y,Y,,,,,,,,,,Data collected blueberry (B) and cranberry (C) in NJ and watermelon (W) in CA,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,Morphospecies,7,"Multiple Methods per crop, duplicate entries made",1,0,1,2,0,1,1,0,0,2,0,0,0,1,0,0,North America
16,2013,Y,Y,Y,Y,N,Y,N,,France,,2007,1,50,,,1,A,3,,,Pan traps,,1.00,,,,,,600,,,,53,,,Species,,,,,,,,,Y,Y,,,,,,,,,,,,Solitary bee abundance and species richness in dynamic agricultural landscapes,Species,9,,0,1,0,1,0,2,0,0,0,2,0,1,0,0,0,0,Europe
17,2014,Y,Y,Y,Y,N,Y,N,,France,,2010,2,14,8,20,1,A,1,,,Pan traps,,15.00,,,,,,4594,,,,83,,,"Genus, Species",,Y,,,,,,,Y,,,,,,,,,,,,,Distance from forest edge affects bee pollinators in oilseed rape fields,Genus,8,"Two numbers for sites per year, average number used",0,1,0,1,1,1,0,0,0,2,0,1,0,0,0,0,Europe
18,2014,Y,Y,Y,Y,N,Y,N,,Germany,,2010,1,23,,,1,A,5,,,Net,45,,,,,,3469,,,,189,,,,Species,,,,,,,,,,Y,,,,,,Y,,,,,,Trait-specific responses of wild bee communities to landscape composition configuration and local factors,Species,9,,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,Europe
19,2015,Y,Y,Y,Y,N,Y,N,,Germany,,2011,2,16,,,2,A,2,,,Visual,,,,,15,,,,426,,,,46,,Species,Y,,,,,,,,,,,,,Y,,,,,,,Each site had 2 transects: field edge and field interior,Annual dynamics of wild bee densities: attractiveness and productivity effects of oilseed rape,Species,9,,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,0,Europe
20,2015,Y,Y,Y,Y,N,Y,N,,USA,NY,2012,2,14,,,1,A,2,,,Pan traps,,3.00,,,,,,1075,,,,65,,,Species,,,,,,,,,,Y,Y,,,,,,,,,,,Landscape simplification decreases wild bee pollination services to strawberry,Species,9,,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,0,North America
21,2015,Y,Y,Y,Y,N,Y,N,,"Germany, Sweden, Netherlands, UK",,2011,3,64,,,8,A,2,,,Visual,,,,,30,,,,7173,,,,125,,,,,,,,,Y,Y,,,,,Y,Y,,,,,,,,Local and landscape-level floral resources explain effects of wildflower strips on wild bees across four European countries,Morphospecies,7,,0,0,1,1,1,1,0,2,0,4,0,0,1,0,0,0,Europe
22,2015,Y,Y,Y,Y,N,Y,N,,England,,2008,3,24,,,1,A,2,,,Visual,,,,,NR,,,,9,,,,,,"Species, Morpho-groups",,,,,,,,,Y,,,,Y,Y,,,Y,,,,,Managing habitats on English farmland for insect pollinator conservation,Morphospecies,7,No chance this is 991,0,0,1,1,0,1,0,2,1,4,0,0,1,0,0,0,Europe
23,2015,Y,Y,Y,Y,Y,Y,Y,,USA,FL,2010,2,9,,,1,A,8,,,"Net, Visual",20,,,,20,,,,,7752,,,,60,Species,,,,Y,,Y,Y,,,,,,,Y,,,Y,,,,"6 plots planted within each site, 3 sites per state",Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,Species,9,,1,0,1,2,3,0,0,1,1,5,0,0,0,1,0,0,North America
23,2015,Y,Y,Y,Y,Y,Y,Y,,USA,MI,2010,2,9,,,1,A,3,,,"Net, Visual",20,,,,20,,,,,874,,,,52,Species,,,,Y,,Y,Y,,,,,,,Y,,,Y,,,,"6 plots planted within each site, 3 sites per state",Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,Species,9,,1,0,1,2,3,0,0,1,1,5,0,0,0,1,0,0,North America
23,2015,Y,Y,Y,Y,Y,Y,Y,,USA,CA,2010,2,9,,,1,A,6,,,"Net, Visual",20,,,,20,,,,,14750,,,,80,Species,,,,Y,,Y,Y,,,,,,,Y,,,Y,,,,"6 plots planted within each site, 3 sites per state",Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,Species,9,,1,0,1,2,3,0,0,1,1,5,0,0,0,1,0,0,North America
24,2015,Y,Y,Y,Y,N,Y,N,,USA,CA,2006,7,15,,,1,A,3,,,Net,60,,,,,,6145,,,,97,,,,"Species, Morpho-species",,,Y,,,,,,,,,,,,,Y,Y,,,,,Small-scale restoration in intensive agricultural landscape supports more specialized and less mobile pollinator species,Morphospecies,7,,1,0,0,1,1,0,0,0,2,3,1,0,0,0,0,0,North America
25,2016,Y,Y,Y,Y,Y,Y,Y,,USA,WI,2010,3,30,,,1,A,3,,,Pan traps,,7.00,,,,,,8340,,,,85,,,Species,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,Diverse landscapes have a higher abundance and species richness of spring wild bees by providing complementary floral resources over bee’ foraging periods,Species,9,,0,1,0,1,0,2,0,2,0,4,0,1,0,0,0,0,North America
26,2016,Y,Y,Y,Y,N,Y,N,"Shannon's, evenness",Sumatra,,2012,1,3,,,1,A,3,,,Net,388,,,,,,31,,,,,,,,"Genus, Species",,,,,,,,,Y,,,,,,,,,,,,,"Diversity and Abundance of Insect Pollinators in Different AgriculturalLands in Jambi, Sumatera",Genus,8,,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,Oceania
27,2016,Y,Y,Y,Y,N,Y,N,,USA,NY,2013,1,17,,,1,A,2,,,Net,30,,,,,,1579,,,,53,,,,Species,,,,,,,,,,Y,Y,,,Y,,Y,,,,,,Pollination services for apple are dependent on diverse wild bee communities,Species,9,,1,0,0,1,0,1,1,1,1,4,1,0,0,0,0,0,North America
28,2019,Y,Y,Y,Y,N,Y,N,,USA,"NJ, NY, PA",2013,3,36,,,1,A,4,,,Pan traps,,1.00,,,,,,12653,,,,226,,,Species,,,,,,,,Y,Y,Y,,,,,,Y,,,,,,Anthropogenic landscapes support fewer rare bee species,Species,9,,0,1,0,1,0,3,0,0,1,4,0,1,0,0,0,0,North America
29,2017,Y,Y,Y,Y,Y,Y,Y,Simpson's,Canada,,2013,2,12,,,1,A,4,,,"Net, Pan traps",20,2.00,,,,,,,,1814,,,,90,Species,,Y,,,,,,,Y,,,,,,,,,,,,,Assessing wild bee diversity in cranberry agroenvironments: influence of natural habitats,Species,9,,1,1,0,2,1,1,0,0,0,2,0,0,0,0,1,0,North America
30,2017,Y,Y,Y,Y,N,Y,N,,Switzerland,,2013,2,8,,,1,A,2,,,Visual,,,,,20,,,,3507,,,,69,,Species,,,,,,,,,Y,,,,Y,Y,,Y,,,,,,Enhancing plant diversity in agricultural landscapes promotes both rare bees and dominant crop-pollinating bees through complementary increase in key floral resources,Species,9,,0,0,1,1,0,1,0,2,1,4,0,0,1,0,0,0,Europe
31,2017,Y,Y,Y,Y,N,Y,N,,Netherlands,,2012,1,20,,,1,A,2,,,Pan traps,,2.00,,,,,,532,,,,44,,,,,,,,,,,,,Y,Y,,Y,Y,,Y,,,Y,,,"Exploring the relationships between landscape complexity, wild bee species richness and reproduction, and pollination services along a complexity gradient in the Netherlands",Morphospecies,7,,0,1,0,1,0,1,1,2,2,6,0,1,0,0,0,0,Europe
32,2017,Y,Y,Y,Y,N,Y,N,Rarefaction,USA,VT,2013,3,15,,,1,A,3,,,Net,10,,,,,,1831,,,,86,,,,"Species, Morpho-species",,Y,,,,,,,,Y,,,,Y,,,,,,,,Farm and landscape factors interact to affect the supply of pollination services,Morphospecies,7,Duplicate to separate collection methods,1,0,0,1,1,1,0,1,0,3,1,0,0,0,0,0,North America
32,2017,Y,Y,Y,Y,N,Y,N,Rarefaction,USA,VT,2013,3,15,,,1,A,3,,,Visual,,,,,40,,,,,4706,,,89,,"Species, Morpho-species",,Y,,,,,,,,Y,,,,Y,,,,,,,,Farm and landscape factors interact to affect the supply of pollination services,Morphospecies,7,Duplicate to separate collection methods,0,0,1,1,1,1,0,1,0,3,0,0,1,0,0,0,North America
33,2017,Y,Y,Y,Y,N,Y,N,,Belgium,,2015,1,7,,,1,A,1,,,Net,180,,,,,,349,,,,12,,,,Species,,,,,,,,,,Y,Y,,,,,,Y,,,,"Sampled 1 day, but 3 different times per day (10 h, 13 h, 16 h for 1 hr each)",Landscapes with high intensive fruit cultivation reduce wild pollinator services to sweet cherry,Species,9,,1,0,0,1,0,1,1,0,1,3,1,0,0,0,0,0,Europe
34,2017,Y,Y,Y,Y,N,Y/N,N,,Spain,,2014,3,27,,,1,A,4,,,Pan,,0.29,,,,,,3489,,,,26,,,Genus,,,,,,,,,,Y,,,Y,Y,,,,,,,,The role of field margins in supporting wild bees in Mediterranean cereal agroecosystems: Which biotic and abiotic factors are important?,Genus,8,Duplicate to separate collection methods,0,1,0,1,0,1,0,2,0,3,0,1,0,0,0,0,Europe
