study_id,title,continent,country,state_usa,start_year,duration_years,site_count,transects_per_site,subsection,sample_trips_per_year_avrg,combined_methods,collection_method,net_sampling,pan_sampling,visual_sampling,combined_sampling,net_sampling_only,pan_sampling_only,visual_sampling_only,combined_sampling_only,net_time_minute,pan_time_days,visual_time_days,net_abundance,pan_abundance,visual_abundance,combined_abundance,net_richness,pan_richness,visual_richness,combined_richness,identification_all,identification_least,Practice,Landscape,Bee on Plant,Plant on Bee,Other,Total N,Crop Veg.,Natural Area,Hedgerow,Flower Strips,Pesticide Use,Focus on Seed Mix,Sampled at Inception,Geographic Spread,Habitat Type,Landscape Influence,Impact to Crop,Impact to Other Plants,Plant Diversity,Bloom Cover,Network Measures,Bee Functional Diversity,Non-bee Sampling,Impact to Bee Health,Nesting Resources
1,Fruit set of highland coffee increases with the diversity of pollinating bees,Asia,Indonesia,,2000,1,24,1,A,3,Y,"Visual, Net",1,0,1,2,0,0,0,1,5,,25,,,,2038,,,,29,"Genus, Species",Genus,0,0,1,1,0,2,,,,,,,,,,,Y,,Y,,,,,,
2,Hedgerows in an agri-natural landscape: potential habitat value for native bees,North America,USA,AZ,2002,2,8,1,A,3,Y,"Visual, Net",1,0,1,2,0,0,0,1,20,,20,,,,1902,,,,107,"Genus, Species",Genus,0,1,0,1,0,2,,,,,,,,,Y,,,,,Y,,,,,
3,Agricultural surroundings support floral-visitor networks in an Afrotropical rain forest,Africa,Kenya,,2005,1,18,1,A,12,N,Visual,0,0,1,1,0,0,1,0,,,60,,,7968,,,,121,,Species,Species,0,1,0,1,0,2,,,,,,,,,Y,,,,,,Y,,,,
11,Impacts of coffee agroforestry management on tropical bee communities,North America,Mexico,,2006,1,7,1,A,6,N,Pan traps,0,1,0,1,0,1,0,0,,14,,,648,,,,46,,,"Species, Morpho-species,  Genus",Genus,0,1,0,3,1,5,,,,,,,,,Y,,,,Y,Y,Y,Y,,,
6,Flower plantings increase wild bee abundance and the pollination services provided to a pollination-dependent crop,North America,USA,MI,2009,4,5,1,A,1,N,Visual,0,0,1,1,0,0,1,0,,,30,,,5240,,,,7,,"Family (Bombus, Apis mellifera)",Family,3,0,1,0,1,5,Y,,,Y,,,Y,,,,Y,,,,,,Y,,
4,Habitat restoration promotes pollinator persistence and colonization in intensively managed agriculture,North America,USA,CA,2006,7,5,1,A,4.0,N,Net,1,0,0,1,1,0,0,0,60,,,6143,,,,97,,,,"Genus, Species, Morpho-species",Genus,2,0,0,1,1,4,,,Y,,,,Y,,,,,,,,Y,,Y,,
10,Interactive effect of floral abundance and semi-natural habitats on pollinators in field beans,Europe,UK,,2005,1,10,1,A,4,Y,"Visual, Pan traps",0,1,1,2,0,0,0,0,,0.25,30,,,,1774,,,,55,Species,Species,1,0,1,1,0,3,,Y,,,,,,,,,Y,,,Y,,,,,
7,Much more than bees – wildflower planting support highly diverse flower-visitor communities from complex to structurally simple agricultural landscapes,Europe,Germany,,2014,1,14,1,A,4,N,Net,1,0,0,1,1,0,0,0,60,,,1015,,,,42,,,,"Family, Genus, Species",Family,1,1,0,2,1,5,,,,Y,,,,,,Y,,,Y,Y,,,Y,,
9,Landscape effects on pollinator communities and pollinator services in small-holder agroecosystems,Asia,China,,2015,1,18,1,A,5,N,Pan traps,0,1,0,1,0,1,0,0,,10,,,3900,,,,38,,,,Morphospecies,0,2,1,1,1,5,,,,,,,,,Y,Y,Y,,,Y,,,Y,,
5,Pollinator community assembly tracks changes in floral resources as restored hedgerows mature in agricultural landscapes,North America,USA,CA,2006,9,15,1,A,3.5,N,Net,1,0,0,1,1,0,0,0,60,,,7179,,,,101,,,,"Genus, Species, Morpho-species",Genus,2,0,0,1,2,5,,,Y,,,,Y,,,,,,Y,,,Y,,,Y
8,Wild bees respond complementarily to ‘high quality’ perennial and annual habitats of organic farms in a complex landscape,Europe,Switzerland,,2014,1,6,1,A,2,Y,"Net, Pan traps",1,1,0,2,0,0,0,0,15,6.5,,,,,3973,,,,91,Species,Species,0,1,0,3,1,5,,,,,,,,,Y,,,,Y,Y,Y,,,,Y
12,Wild pollination services to California almond rely on semi-natural habitat,North America,USA,CA,2008,1,23,1,A,3,N,Visual,0,0,1,1,0,0,1,0,,,27,,,2794,,,,20,,Species,Species,2,0,0,1,1,4,,Y,,,Y,,,,,,,,,Y,,,Y,,
13,Differences of floral resource use between honey bees and wild bees in an intensive farming system,Europe,France,,2010,3,812,1,A,1,N,Net,1,0,0,1,1,0,0,0,15,,,29720,,,,22,,,,Genus,Genus,0,1,0,2,0,3,,,,,,,,,Y,,,,Y,Y,,,,,
14,Pollinator body size mediates the scale at which land use drives crop pollination services,North America,USA,NJ,2010,3,16,1,A,3,N,Net,1,0,0,1,1,0,0,0,60,,,1088,,,,7,,,,Genus / Group,Genus,1,1,1,0,0,3,Y,,,,,,,,,Y,Y,,,,,,,,
14,Pollinator body size mediates the scale at which land use drives crop pollination services,North America,USA,NJ,2010,3,16,1,A,3,N,Visual,0,0,1,1,0,0,1,0,,,60,,,1217,,,,7,,Genus / Group,Genus,1,1,1,0,0,3,Y,,,,,,,,,Y,Y,,,,,,,,
15,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,North America,USA,NJ,2010,2,16,1,B,3,Y,"Net, Visual",0,0,1,1,0,0,1,0,,,20,,,,1017,,,,4,"Species, Morpho-species",Morphospecies,0,1,1,0,0,2,,,,,,,,,,Y,Y,,,,,,,,
15,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,North America,USA,NJ,2010,2,16,1,C,2,Y,"Net, Visual",1,0,0,1,1,0,0,0,60,,,,,,2200,,,,5,"Species, Morpho-species",Morphospecies,0,1,1,0,0,2,,,,,,,,,,Y,Y,,,,,,,,
15,Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,North America,USA,CA,2010,2,12,1,W,3,Y,"Net, Visual",1,0,1,2,0,0,0,1,68,,40,,,,1917,,,,7,"Species, Morpho-species",Morphospecies,0,1,1,0,0,2,,,,,,,,,,Y,Y,,,,,,,,
16,Solitary bee abundance and species richness in dynamic agricultural landscapes,Europe,France,,2007,1,50,1,A,3,N,Pan traps,0,1,0,1,0,1,0,0,,1.00,,,600,,,,53,,,Species,Species,0,2,0,0,0,2,,,,,,,,,Y,Y,,,,,,,,,
17,Distance from forest edge affects bee pollinators in oilseed rape fields,Europe,France,,2010,2,14,1,A,1,N,Pan traps,0,1,0,1,0,1,0,0,,15.00,,,4594,,,,83,,,"Genus, Species",Genus,1,1,0,0,0,2,,Y,,,,,,,Y,,,,,,,,,,
18,Trait-specific responses of wild bee communities to landscape composition configuration and local factors,Europe,Germany,,2010,1,23,1,A,5,N,Net,1,0,0,1,1,0,0,0,45,,,3469,,,,189,,,,Species,Species,0,1,0,0,1,2,,,,,,,,,,Y,,,,,,Y,,,
19,Annual dynamics of wild bee densities: attractiveness and productivity effects of oilseed rape,Europe,Germany,,2011,2,16,2,A,2,N,Visual,0,0,1,1,0,0,1,0,,,15,,,426,,,,46,,Species,Species,1,0,0,1,0,2,Y,,,,,,,,,,,,,Y,,,,,
20,Landscape simplification decreases wild bee pollination services to strawberry,North America,USA,NY,2012,2,14,1,A,2,N,Pan traps,0,1,0,1,0,1,0,0,,3.00,,,1075,,,,65,,,Species,Species,0,1,1,0,0,2,,,,,,,,,,Y,Y,,,,,,,,
21,Local and landscape-level floral resources explain effects of wildflower strips on wild bees across four European countries,Europe,"Germany, Sweden, Netherlands, UK",,2011,3,64,8,A,2,N,Visual,0,0,1,1,0,0,1,0,,,30,,,7173,,,,125,,,Morphospecies,1,1,0,2,0,4,,,,,,,Y,Y,,,,,Y,Y,,,,,
22,Managing habitats on English farmland for insect pollinator conservation,Europe,England,,2008,3,24,1,A,2,N,Visual,0,0,1,1,0,0,1,0,,,NR,,,9,,,,,,"Species, Morpho-groups",Morphospecies,0,1,0,2,1,4,,,,,,,,,Y,,,,Y,Y,,,Y,,
23,Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,North America,USA,FL,2010,2,9,1,A,8,Y,"Net, Visual",1,0,1,2,0,0,0,1,20,,20,,,,7752,,,,60,Species,Species,3,0,0,1,1,5,,,,Y,,Y,Y,,,,,,,Y,,,Y,,
23,Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,North America,USA,MI,2010,2,9,1,A,3,Y,"Net, Visual",1,0,1,2,0,0,0,1,20,,20,,,,874,,,,52,Species,Species,3,0,0,1,1,5,,,,Y,,Y,Y,,,,,,,Y,,,Y,,
23,Native wildflower plantings support wild bee abundance and diversity in agricultural landscapes across the United States,North America,USA,CA,2010,2,9,1,A,6,Y,"Net, Visual",1,0,1,2,0,0,0,1,20,,20,,,,14750,,,,80,Species,Species,3,0,0,1,1,5,,,,Y,,Y,Y,,,,,,,Y,,,Y,,
24,Small-scale restoration in intensive agricultural landscape supports more specialized and less mobile pollinator species,North America,USA,CA,2006,7,15,1,A,3,N,Net,1,0,0,1,1,0,0,0,60,,,6145,,,,97,,,,"Species, Morpho-species",Morphospecies,1,0,0,0,2,3,,,Y,,,,,,,,,,,,,Y,Y,,
25,Diverse landscapes have a higher abundance and species richness of spring wild bees by providing complementary floral resources over bee’ foraging periods,North America,USA,WI,2010,3,30,1,A,3,Y,Pan traps,0,1,0,1,0,1,0,0,,7.00,,,8340,,,,85,,,Species,Species,0,2,0,2,0,4,,,,,,,,Y,,Y,,,Y,Y,,,,,
26,"Diversity and Abundance of Insect Pollinators in Different AgriculturalLands in Jambi, Sumatera",Oceania,Sumatra,,2012,1,3,1,A,3,N,Net,1,0,0,1,1,0,0,0,388,,,31,,,,,,,,"Genus, Species",Genus,0,1,0,0,0,1,,,,,,,,,Y,,,,,,,,,,
27,Pollination services for apple are dependent on diverse wild bee communities,North America,USA,NY,2013,1,17,1,A,2,N,Net,1,0,0,1,1,0,0,0,30,,,1579,,,,53,,,,Species,Species,0,1,1,1,1,4,,,,,,,,,,Y,Y,,,Y,,Y,,,
28,Anthropogenic landscapes support fewer rare bee species,North America,USA,"NJ, NY, PA",2013,3,36,1,A,4,N,Pan traps,0,1,0,1,0,1,0,0,,1.00,,,12653,,,,226,,,Species,Species,0,3,0,0,1,4,,,,,,,,Y,Y,Y,,,,,,Y,,,
29,Assessing wild bee diversity in cranberry agroenvironments: influence of natural habitats,North America,Canada,,2013,2,12,1,A,4,Y,"Net, Pan traps",1,1,0,2,0,0,0,0,20,2.00,,,,,1814,,,,90,Species,Species,1,1,0,0,0,2,,Y,,,,,,,Y,,,,,,,,,,
30,Enhancing plant diversity in agricultural landscapes promotes both rare bees and dominant crop-pollinating bees through complementary increase in key floral resources,Europe,Switzerland,,2013,2,8,1,A,2,N,Visual,0,0,1,1,0,0,1,0,,,20,,,3507,,,,69,,Species,Species,0,1,0,2,1,4,,,,,,,,,Y,,,,Y,Y,,Y,,,
